,head,head_replaced,head_translated
7657,PersonX persuades PersonY to change,someone persuades someone else to change,有人劝别人改变
7658,PersonX feels ___ on PersonY's line,someone feels something on someone else's line,有人感觉到了别人的线
7659,PersonX thinks of ways,someone thinks of ways,有人想办法
7660,PersonX is driving down the street,someone is driving down the street,有人在街上开车
7661,PersonX eagerly awaited,someone eagerly awaited,有人翘首以盼
7662,PersonX builds ___ in the air,someone builds something in the air,有人在空中造东西
7663,PersonX watches some television,someone watches some television,有人在看电视
7664,PersonX opens the car door,someone opens the car door,有人打开车门
7665,PersonX just got home,someone just got home,有人回家了
7666,PersonX keeps watch,someone keeps watch,有人在监视
7667,PersonX goes back to PersonY's house,someone goes back to someone else's house,有人回到别人家
7668,PersonX takes ___ to a bar,someone takes something to a bar,有人带东西去酒吧
7669,PersonX practices a lot,someone practices a lot,有人经常练习
7670,PersonX divides the cake into sections,someone divides the cake into sections,有人把蛋糕分成几份
7671,PersonX goes grocery shopping ___,someone goes grocery shopping something,有人去杂货店买东西
7672,PersonX holds PersonY's ___ during behavior,someone holds someone else's something during behavior,在行为过程中有人拿着别人的东西
7673,PersonX is taking out the garbage,someone is taking out the garbage,有人在倒垃圾
7674,PersonX is getting late,someone is getting late,有人迟到了
7675,PersonX purchases a new mouse,someone purchases a new mouse,有人买了只新老鼠
7676,PersonX does n't want to leave,someone does n't want to leave,有人不想离开
7677,PersonX spends the morning,someone spends the morning,有人花了一上午
7678,PersonX is at PersonY's grandmother 's house,someone is at someone else's grandmother 's house,有人在别人的祖母家里
7679,PersonX takes PersonY ___ away,someone takes someone else something away,有人拿走了别人的东西
7680,PersonX binds PersonX's hands together,someone binds his hands together,有人把双手绑在一起
7681,PersonX wants more than anything,someone wants more than anything,有人比什么都想要
7682,PersonX gets stitches,someone gets stitches,有人缝了针
7683,PersonX arrives late,someone arrives late,有人迟到了
7684,PersonX takes a walk ___,someone takes a walk something,有人散步
7685,PersonX washes the car,someone washes the car,有人洗车
7686,PersonX bumps and grind,someone bumps and grind,有人磕磕碰碰
7687,PersonX sees ___ in the window,someone sees something in the window,有人看见窗户里有东西
7688,PersonX gets bored,someone gets bored,有人觉得无聊
7689,PersonX provides food for people,someone provides food for people,有人为人们提供食物
7690,PersonX cracks a fat,someone cracks a fat,有人把一块肥肉
7691,PersonX presents PersonX's views,someone presents his views,有人提出他的观点
7692,PersonX takes effect on PersonY,someone takes effect on someone else,有人影响了别人
7693,PersonX is right next,someone is right next,下一个就是某人
7694,PersonX limits women 's ___,someone limits women 's something,有人限制女人的东西
7695,PersonX puts the cart before the horse,someone puts the cart before the horse,有人本末倒置
7696,PersonX puts PersonY to sleep,someone puts someone else to sleep,有人让别人睡着了
7697,PersonX goes nuts,someone goes nuts,有人疯了
7698,PersonX sees PersonY frequently,someone sees someone else frequently,有人经常见到别人
7699,PersonX catches a foul ball,someone catches a foul ball,有人接了一个界外球
7700,PersonX sees PersonY's father,someone sees someone else's father,有人看见别人的父亲
7701,PersonX studies for PersonX's math test,someone studies for his math test,有人为他的数学考试而学习
7702,PersonX raises ___ to the level,someone raises something to the level,某人把某物提高到一定程度
7703,PersonX plays PersonX's ___ right,someone plays his something right,有人做了正确的事
7704,PersonX hangs PersonX's clothes,someone hangs his clothes,有人把他的衣服
7705,PersonX steals anything,someone steals anything,有人偷了什么东西
7706,PersonX starts walking,someone starts walking,有人开始走路
7707,PersonX turns to face PersonY,someone turns to face someone else,有人转向面对别人
7708,PersonX sleeps very well,someone sleeps very well,有人睡得很好
7709,PersonX paints the house,someone paints the house,有人在粉刷房子
7710,PersonX thinks well of PersonY,someone thinks well of someone else,别人对别人很好
7711,PersonX makes a candle,someone makes a candle,有人做了蜡烛
7712,PersonX brings ___ back home,someone brings something back home,有人把东西带回家
7713,PersonX moves back ___,someone moves back something,有人把东西搬回去了
7714,PersonX pours coffee,someone pours coffee,有人倒咖啡
7715,PersonX heads back to school,someone heads back to school,有人回学校了
7716,PersonX is time to go home,someone is time to go home,有人该回家了
7717,PersonX brings PersonY to the ground,someone brings someone else to the ground,有人把别人带到地上
7718,PersonX increases PersonX's wealth,someone increases his wealth,有人增加了他的财富
7719,PersonX opens the chest,someone opens the chest,有人打开了箱子
7720,PersonX buys tickets to a concert,someone buys tickets to a concert,有人买音乐会的票
7721,PersonX keeps PersonX's cards close to PersonX's chest,someone keeps his cards close to his chest,有人把牌贴在胸前
7722,PersonX pokes PersonY,someone pokes someone else,有人戳别人
7723,PersonX pays PersonY's cable bill,someone pays someone else's cable bill,有人付了别人的有线电视费
7724,PersonX buys books in the store,someone buys books in the store,有人在商店里买书
7725,PersonX works closely with PersonY,someone works closely with someone else,某人与他人紧密合作
7726,PersonX moves PersonY's body,someone moves someone else's body,有人动了别人的身体
7727,PersonX gives PersonY's son,someone gives someone else's son,有人把别人的儿子
7728,PersonX gets frustrated,someone gets frustrated,有人很沮丧
7729,PersonX would n't like PersonY,someone would n't like someone else,有人不会喜欢别人
7730,PersonX immediately called,someone immediately called,有人马上打来电话
7731,PersonX shows every ___,someone shows every something,有人展示了一切
7732,PersonX gets ___ safely,someone gets something safely,有人得到了安全的东西
7733,PersonX wears out PersonX's welcome,someone wears out his welcome,有人不受欢迎
7734,PersonX robs PersonY,someone robs someone else,有人抢劫了别人
7735,PersonX looks cute,someone looks cute,有人看起来很可爱
7736,PersonX spins PersonY,someone spins someone else,有人让别人旋转
7737,PersonX wears ___ home,someone wears something home,家里有人带了东西
7738,PersonX takes a stab at ___,someone takes a stab at something,有人在尝试什么
7739,PersonX files for a divorce,someone files for a divorce,有人提出离婚
7740,PersonX starts playing,someone starts playing,有人开始玩
7741,PersonX practices PersonX's routine,someone practices his routine,有人在练习他的套路
7742,PersonX starts a fire,someone starts a fire,有人放火了
7743,PersonX walks around PersonY,someone walks around someone else,有人绕着别人走
7744,PersonX whistles past the graveyard,someone whistles past the graveyard,有人吹口哨经过墓地
7745,PersonX sees PersonY everyday,someone sees someone else everyday,每天都有人看到别人
7746,PersonX takes PersonY to the house,someone takes someone else to the house,有人带别人到家里
7747,PersonX suddenly stopped,someone suddenly stopped,突然有人停下来
7748,PersonX uses ___ to defend,someone uses something to defend,有人用东西来保护
7749,PersonX loses track of time,someone loses track of time,有人忘记了时间
